Birey_ID,Tarihlendirme(GÖ),Okuma_Derinliği,Kültür,Gruplar,Country,Publication,Enlem,Boylam,Veri_Tipi,Cinsiyet,Ind_type
I14786,3538,0.109755,TUR_SE_Kilis_MBA,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,F,Antik
I14762,3561,0.120773,TUR_SE_Kilis_MBA,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,M,Antik
ALA011,3644,0.0809487,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
ALA026,3648,0.20314,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
ALA014,3650,0.0642068,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
I14784,3652,0.11859,TUR_SE_Kilis_MBA,Neolitik Sonrası,Turkey,LazaridisScience2022,36.69,37.17,1240K,M,Antik
ALA028,3686,0.135953,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,F,Antik
ALA034,3686,0.120668,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,F,Antik
ALA025,3706,0.0717338,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,F,Antik
ALA013,3713,0.272733,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,F,Antik
ALA029,3715,0.0711121,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,F,Antik
ALA008,3720,0.0796431,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,M,Antik
ALA037,3721,0.0124829,Alalakh_MLBA,Neolitik Sonrası,Turkey,SkourtaniontiCell2020,36.23778,36.38472,1240K,F,Antik
MA2205,3770,0.704461,Assyrian,Neolitik Sonrası,Turkey,DamgaardScience2018,39.345805,33.78813,Rastgele dizileme,M,Antik
MA2206,3770,0.408031,Assyrian,Neolitik Sonrası,Turkey,DamgaardScience2018,39.345805,33.78813,Rastgele dizileme,F,Antik
MA2208,3770,0.086511,Assyrian,Neolitik Sonrası,Turkey,DamgaardScience2018,39.345805,33.78813,Rastgele dizileme,M,Antik
